Rownames,Compartment,group,FDR,Significant,n,Genes
1,"3-methylcrotonyl-CoA carboxylase complex, mitochondrial","Cytoplasm, Mitochondrion",0,TRUE,1,Q99MR8
2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex",Cytoplasm,0,TRUE,1,P70266
3,6-phosphofructokinase complex,Cytoplasm,0,TRUE,3,"P12382,P47857,Q9WUA3"
4,7SK snRNP,Nucleus,0,TRUE,2,"Q05CL8,Q8R409"
5,A band,Cytoplasm,0,TRUE,13,"Q02357,Q3UIK0,P09542,Q9QVP4,Q9DBR7,P47911,P14148,E9Q401,P56565,Q9CZM2,Q9D8E6,Q9D783,Q8C8R3"
6,AIM2 inflammasome complex,Cytoplasm,0,TRUE,1,Q9EPB4
7,AMPA glutamate receptor complex,Plasma membrane,0,TRUE,2,"Q99LR1,Q9EP69"
8,AP-1 adaptor complex,"Cytoplasm, Golgi apparatus, Intracellular vesicle",0,TRUE,3,"P22892,O88512,P61967"
9,AP-2 adaptor complex,"Cytoplasm, Plasma membrane, Intracellular vesicle",0,TRUE,8,"P17426,P17427,P84091,P42567,Q61548,Q9DBG3,Q80XQ2,P62743"
10,AP-3 adaptor complex,Cytoplasm,0,TRUE,6,"Q9Z1T1,O54774,Q8BSZ2,Q91W86,Q9D2N9,Q8R307"
11,AP-4 adaptor complex,Cytoplasm,0,TRUE,2,"Q9JKC7,Q9WVL1"
12,ATAC complex,Nucleus,0,TRUE,1,P61965
13,Arp2/3 protein complex,Cytoskeleton,0,TRUE,9,"Q9WV32,Q9JM76,Q9R0Q6,P61161,Q9CPW4,P59999,Q99JY9,Q9D898,Q9CVB6"
14,Atg1/ULK1 kinase complex,Cytoplasm,0,TRUE,3,"Q91YI1,Q80XQ2,Q3UDP0"
15,Atg12-Atg5-Atg16 complex,Cytoplasm,0,TRUE,1,Q99J83
16,B cell receptor complex,Plasma membrane,0,TRUE,1,P48025
17,BAT3 complex,Cytoplasm,0,TRUE,3,"P21126,Q9D1H7,Q9Z1R2"
18,BLOC-1 complex,Cytoplasm,0,TRUE,8,"Q8R015,Q9Z266,Q8R570,Q8VDD8,Q2TBE6,Q9ER00,Q5U5M8,Q3UMB9"
19,BORC complex,Cytoplasm,0,TRUE,2,"Q9Z266,Q9D6W8"
20,BRCA1-A complex,Nucleus,0,TRUE,3,"Q3UI43,Q8K3W0,P46737"
21,BRISC complex,Nucleus,0,TRUE,5,"Q3UI43,Q8K3W0,Q9CZN7,Q3TCJ1,P46737"
22,Barr body,Nucleus,0,TRUE,3,"P84244,Q9QZQ8,Q8CCK0"
23,CD40 receptor complex,Plasma membrane,0,TRUE,3,"O88351,Q9JIY5,Q924T7"
24,CD95 death-inducing signaling complex,Plasma membrane,0,TRUE,2,"O89110,Q61160"
25,CGRP receptor complex,Plasma membrane,0,TRUE,1,Q9R1W5
26,CIA complex,Cytoplasm,0,TRUE,3,"Q99KN2,Q7TMW6,Q9D071"
27,COP9 signalosome,Nucleus,0,TRUE,23,"Q03265,P61202,O70318,O08917,Q60631,P20029,P16627,P11499,Q8VDD5,Q62077,P49813,O88543,O35864,O88544,O88545,Q9CZ04,Q8BV13,P63168,Q99JB2,Q91XV3,Q8VBV7,G3UXW9,Q80TR8"
28,COPI vesicle coat,"Cytoplasm, Golgi apparatus, Intracellular vesicle",0,TRUE,9,"Q8CIE6,O55029,Q9QXK3,Q9QZE5,Q9JHH9,P61924,Q9JIF7,Q9EQC5,Q5XJY5"
29,COPI-coated Golgi to ER transport vesicle,"Cytoplasm, Intracellular vesicle",0,TRUE,2,"Q6R0H7,P63094"
30,COPI-coated vesicle,"Cytoplasm, Intracellular vesicle",0,TRUE,13,"P84078,Q8CIE6,O08547,P61164,Q9QXK3,Q9R0Q3,Q9JHH9,Q9CQ56,Q9D1D4,Q9JIF7,Q8K212,Q5XJY5,Q6QD59"
31,COPI-coated vesicle membrane,"Cytoplasm, Intracellular vesicle",0,TRUE,1,Q9QYE6
32,COPII vesicle coat,"Cytoplasm, Intracellular vesicle",0,TRUE,13,"P12815,Q99JZ4,Q01405,Q9D662,Q9CQC9,Q3UPL0,Q6NXL1,Q3U2P1,Q80ZX0,Q9D1M0,A0A286YDI8,G3X972,Q3TZ89"
33,COPII-coated ER to Golgi transport vesicle,"Cytoplasm, Intracellular vesicle",0,TRUE,23,"P12023,Q3V009,Q01405,Q9R0Q3,Q9CR20,D3YZZ5,Q9DBH5,Q9DC16,Q99KF1,Q9D0I4,Q91XB7,Q9D1D4,Q3UPL0,Q9D0F3,Q80Y98,Q9CXE7,Q9CX30,Q9CX13,Q921M4,Q80ZX0,Q8R1V4,P59481,Q6PDI5"
34,CORVET complex,"Cytoplasm, Endosome, Intracellular vesicle",0,TRUE,4,"Q91W86,Q9D2N9,Q8R307,P59016"
35,CRD-mediated mRNA stability complex,Cytoplasm,0,TRUE,9,"A0A087WPL5,O70133,E9QNN1,P62960,Q8VEK3,A0A0R4J259,Q7TMK9,G3UZ48,Q91W50"
36,Cajal body,Nucleus,0,TRUE,13,"Q61545,Q9Z315,O08810,Q62241,Q62384,O88569,Q9JLI8,Q6DFW4,Q8CCF0,Q9DAW6,Q922U1,Q8BTI8,Q9ESX5"
37,CatSper complex,Plasma membrane,0,TRUE,1,P17156
38,Cdc73/Paf1 complex,Nucleus,0,TRUE,1,Q9ERF3
39,DNA replication factor A complex,Nucleus,0,TRUE,4,"Q99KP6,Q922V4,Q8VEE4,Q6A068"
40,DSIF complex,Nucleus,0,TRUE,3,"P63271,O55201,Q9Z199"
41,Derlin-1 retrotranslocation complex,"Cytoplasm, Endoplasmic reticulum",0,TRUE,4,"Q9D8V0,Q9Z2G6,Q99J56,Q01853"
42,Derlin-1-VIMP complex,"Cytoplasm, Endoplasmic reticulum",0,TRUE,1,Q99J56
43,EARP complex,"Cytoplasm, Endosome, Intracellular vesicle",0,TRUE,3,"Q8CCB4,Q8C754,Q8K0G5"
44,EMC complex,"Cytoplasm, Endoplasmic reticulum",0,TRUE,8,"O70378,Q99KI3,Q9CRD2,Q9CZX9,Q3TAS6,Q9EP72,Q8C7X2,Q8K273"
45,ER to Golgi transport vesicle membrane,"Cytoplasm, Intracellular vesicle",0,TRUE,7,"O08547,Q01405,O89116,Q91XH6,Q9Z1Z0,O35166,E9QAT4"
46,ESC/E(Z) complex,Nucleus,0,TRUE,3,"P70288,Q60972,Q60973"
47,ESCRT I complex,"Cytoplasm, Endosome, Intracellular vesicle",0,TRUE,3,"Q61187,Q8CHS8,Q9D1C8"
48,ESCRT II complex,"Cytoplasm, Endosome, Intracellular vesicle",0,TRUE,3,"Q9CZ28,Q9CQ80,Q91XD6"
