Protein.Group,Markers,markers
A0A075B5L0,unknown,unknown
A0A075B5M7,unknown,unknown
A0A075B5N9,unknown,unknown
A0A075B5P3;A0A0A6YVP0,unknown,unknown
A0A075B5P3;A0A0A6YVP0;A0A0A6YY53;F6TQW2,unknown,unknown
A0A075B5P4;A0A0A6YWR2,unknown,unknown
A0A075B5P5;A0A1Y7VJN6,unknown,unknown
A0A075B5R5,unknown,unknown
A0A075B5S2,unknown,unknown
A0A075B5T2,unknown,unknown
A0A075B5T2;A0A075B5T3,unknown,unknown
A0A075B5T3,unknown,unknown
A0A075B5V0,unknown,unknown
A0A075B5V1,unknown,unknown
A0A075B5Y4,unknown,unknown
A0A075B5Y4;A0A0A6YXN4,unknown,unknown
A0A075B663,unknown,unknown
A0A075B680;A0A0A6YXZ4;A0A0G2JFL3,unknown,unknown
A0A075B6A3;A0A0A6YXW6,unknown,unknown
A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;A0A0N4SUT7;J3QP81,unknown,unknown
A0A087WP24;A0A087WPF8;A0A087WRJ2;A0A087WSR2;E9QN99,unknown,unknown
A0A087WPL5;E9QNN1,unknown,unknown
A0A087WQH8,unknown,unknown
A0A087WQS0;A0A1D5RM59;E9Q0S6,unknown,unknown
A0A087WR45;Q3UKG2,unknown,unknown
A0A087WSE3;E9QQ25,unknown,unknown
A0A087WSK5;A0A0R4J078,unknown,unknown
A0A087WSP5;Q8C3V4;Q99K94,unknown,unknown
A0A0A0MQC1,unknown,unknown
A0A0A6YW07;Q80ZJ2;Q924B0,unknown,unknown
A0A0A6YX73;Q8K1M3,unknown,unknown
A0A0A6YXL6;A0A0A6YXX3;A0A1D5RM41;E9Q3Y4,unknown,unknown
A0A0A6YXQ0,unknown,unknown
A0A0A6YXS5;A0A0R4J0Q2;D3YUD3;D3YUL8;D3Z230;E9Q9A0;E9QAD0;F6R4N2;F6V2U0;Q3UEQ1,unknown,unknown
A0A0A6YY53;F6TQW2,unknown,unknown
A0A0A6YY83;E9Q2S0,unknown,unknown
A0A0A6YYE7;A0A0B4J1I9,unknown,unknown
A0A0B4J1G1,unknown,unknown
A0A0B4J1I9,unknown,unknown
A0A0G2JDV3,unknown,unknown
A0A0G2JDY6;A0A0G2JGI1,unknown,unknown
A0A0G2JE99,unknown,unknown
A0A0G2JFH2,unknown,unknown
A0A0J9YKD4,unknown,unknown
A0A0J9YTR2,unknown,unknown
A0A0J9YTU1;E9Q1Q9,unknown,unknown
A0A0J9YUD5;B9EJ54,unknown,unknown
A0A0N4SVS6,unknown,unknown
A0A0R4J034,unknown,unknown
A0A0R4J049,unknown,unknown
A0A0R4J050;A0A1L1SRC1;A0A1L1SRW7;A0A1L1SS90,unknown,unknown
A0A0R4J083,unknown,unknown
A0A0R4J094,unknown,unknown
A0A0R4J0I1,unknown,unknown
A0A0R4J0S1,unknown,unknown
A0A0R4J0X5,unknown,unknown
