sampleNames,Fractions
Aug_F01_1,1
Aug_F02_1,2
Aug_F03_1,3
Aug_F04_1,4
Aug_F05_1,5
Aug_F06_1,6
Aug_F07_1,7
Aug_F08_1,8
Aug_F09_1,9
Aug_F10_1,10
Aug_F11_1,11
Aug_F01_2,1
Aug_F02_2,2
Aug_F03_2,3
Aug_F04_2,4
Aug_F05_2,5
Aug_F06_2,6
Aug_F07_2,7
Aug_F08_2,8
Aug_F09_2,9
Aug_F10_2,10
Aug_F11_2,11
Aug_F01_3,1
Aug_F02_3,2
Aug_F03_3,3
Aug_F04_3,4
Aug_F05_3,5
Aug_F06_3,6
Aug_F07_3,7
Aug_F08_3,8
Aug_F09_3,9
Aug_F10_3,10
Aug_F11_3,11
Sep_F01_1,1
Sep_F02_1,2
Sep_F03_1,3
Sep_F04_1,4
Sep_F05_1,5
Sep_F06_1,6
Sep_F07_1,7
Sep_F08_1,8
Sep_F09_1,9
Sep_F10_1,10
Sep_F11_1,11
Sep_F01_2,1
Sep_F02_2,2
Sep_F03_2,3
Sep_F04_2,4
Sep_F05_2,5
Sep_F06_2,6
Sep_F07_2,7
Sep_F08_2,8
Sep_F09_2,9
Sep_F10_2,10
Sep_F11_2,11
Sep_F01_3,1
Sep_F02_3,2
Sep_F03_3,3
Sep_F04_3,4
Sep_F05_3,5
Sep_F06_3,6
Sep_F07_3,7
Sep_F08_3,8
Sep_F09_3,9
Sep_F10_3,10
Sep_F11_3,11
