Protein.Group,Aug_F01_1,Aug_F02_1,Aug_F03_1,Aug_F04_1,Aug_F05_1,Aug_F06_1,Aug_F07_1,Aug_F08_1,Aug_F09_1,Aug_F10_1,Aug_F11_1,Aug_F01_2,Aug_F02_2,Aug_F03_2,Aug_F04_2,Aug_F05_2,Aug_F06_2,Aug_F07_2,Aug_F08_2,Aug_F09_2,Aug_F10_2,Aug_F11_2,Aug_F01_3,Aug_F02_3,Aug_F03_3,Aug_F04_3,Aug_F05_3,Aug_F06_3,Aug_F07_3,Aug_F08_3,Aug_F09_3,Aug_F10_3,Aug_F11_3,Sep_F01_1,Sep_F02_1,Sep_F03_1,Sep_F04_1,Sep_F05_1,Sep_F06_1,Sep_F07_1,Sep_F08_1,Sep_F09_1,Sep_F10_1,Sep_F11_1,Sep_F01_2,Sep_F02_2,Sep_F03_2,Sep_F04_2,Sep_F05_2,Sep_F06_2,Sep_F07_2,Sep_F08_2,Sep_F09_2,Sep_F10_2,Sep_F11_2,Sep_F01_3,Sep_F02_3,Sep_F03_3,Sep_F04_3,Sep_F05_3,Sep_F06_3,Sep_F07_3,Sep_F08_3,Sep_F09_3,Sep_F10_3,Sep_F11_3
A0A075B5L0,0.061791064,0.077344472,0.076442234,0.065793813,0.089569538,0.102694434,0.099651695,0.090256066,0.082934954,0.112685181,0.140836548,0.050795965,0.076931567,0.06864603,0.097126512,0.098030933,0.090574385,0.106712073,0.096432658,0.069217798,0.098487874,0.147044203,0.062602824,0.048583477,0.08375188,0.083272048,0.093017486,0.070912816,0.113483535,0.073583747,0.087377472,0.110895507,0.17251921,0.008669229,0.027527451,0.036117447,0.055134698,0.008928058,0.051381055,0.064213878,0.095242514,0.519577861,0.044757106,0.088450705,0.007796721,0.027217246,0.038317896,0.040453073,0.013760899,0.112768904,0.092680292,0.053174306,0.062607661,0.526370391,0.024852611,0.039448096,0.076841141,0.05755747,0.038699741,0.022967716,0.084900322,0.119928722,0.095224201,0.105830737,0.09412593,0.264475924
A0A075B5M7,0.048603573,0.074712491,0.072885035,0.086252694,0.084878541,0.08315705,0.093168079,0.108648515,0.085125747,0.142894079,0.119674196,0.07581409,0.077213762,0.079989745,0.087740994,0.07618685,0.089129066,0.097129391,0.096278641,0.079762901,0.104550126,0.136204435,0.07551312,0.070551415,0.084082114,0.090375825,0.073270009,0.1113148,0.094168905,0.074303454,0.099803414,0.095032794,0.13158415,0.040121915,0.052850555,0.054073651,0.097419106,0.059811886,0.090756175,0.094973116,0.164125274,0.105828296,0.13694936,0.103090665,0.027924645,0.045615778,0.056856374,0.081696493,0.097672792,0.095613143,0.138745765,0.098154041,0.130513357,0.087845326,0.139362285,0.055721247,0.061961469,0.036364343,0.072684911,0.084044444,0.07740787,0.102101209,0.096618662,0.1190972,0.20118874,0.092809906
A0A075B5N9,0.026117916,0.084785652,0.042554058,0.052070843,0.073963202,0.095023119,0.103566302,0.131358,0.108317434,0.118175664,0.164067812,0.019645619,0.048954077,0.04421031,0.062968675,0.051788318,0.097017814,0.077258431,0.105100035,0.082764685,0.128293424,0.281998612,0.040412719,0.043445668,0.076412159,0.061074596,0.066214512,0.115860931,0.117841402,0.102173755,0.074151152,0.146032073,0.156381033,0.025034773,0.007172188,0.04146467,0.08664637,0.022454398,0.096466127,0.109403327,0.037497933,0.429259664,0.085133976,0.059466574,0.008762833,0.008687155,0.041416195,0.043821397,0.070076756,0.06197389,0.061938848,0.074967367,0.13189361,0.382609722,0.113852228,0.019911235,0.01139034,0.044991294,0.382782122,0.069653068,0.069340766,0.093144225,0.089443175,0.087369896,0.072202664,0.059771216
A0A075B5P3;A0A0A6YVP0,0.096663611,0.080248731,0.070145975,0.068035794,0.096403208,0.105783607,0.100185374,0.067712565,0.081205545,0.101760522,0.131855067,0.062730382,0.074719725,0.059661577,0.080176886,0.10112912,0.082997891,0.132652374,0.092339003,0.09145192,0.088736779,0.133404343,0.058748637,0.061976168,0.078247837,0.074019702,0.107306192,0.1369249,0.111075702,0.071762291,0.10587082,0.073058825,0.121008925,0.049032323,0.0517059,0.057512207,0.071466999,0.135434989,0.093677404,0.108121942,0.107986895,0.050413235,0.114620465,0.160027642,0.055762853,0.062633491,0.07305906,0.090506674,0.094002744,0.109077434,0.102647966,0.092100976,0.093114178,0.064834367,0.162260258,0.050583642,0.052835386,0.055389342,0.083790732,0.097798508,0.104220618,0.115319911,0.106515513,0.09221145,0.113914231,0.127420667
A0A075B5P3;A0A0A6YVP0;A0A0A6YY53;F6TQW2,0.08737367,0.092688958,0.087796785,0.081881686,0.087944996,0.098153473,0.086967582,0.103141207,0.0766932,0.084216598,0.113141845,0.097913321,0.098859086,0.019233821,0.085937634,0.096059492,0.098830477,0.107152114,0.09829814,0.081170598,0.080584302,0.135961014,0.089098365,0.082195973,0.104502373,0.090572384,0.092980287,0.06454983,0.094290347,0.081311316,0.085523136,0.083073373,0.131902617,0.08805285,0.07393087,0.113072485,0.131986029,0.0764433,0.122729843,0.13116345,0.058074078,0.09923167,0.091619966,0.01369546,0.067652579,0.074238203,0.071562267,0.099857738,0.105931626,0.104549562,0.11178307,0.10334555,0.062037534,0.068870923,0.130170949,0.052943372,0.090479948,0.095383267,0.061969272,0.126606262,0.110707939,0.098426025,0.10319003,0.070101794,0.081236742,0.10895535
A0A075B5P4;A0A0A6YWR2,0.067048115,0.076764322,0.059185682,0.063052993,0.096485316,0.057556594,0.135727287,0.094986323,0.073500342,0.079271084,0.196421941,0.055756349,0.064052704,0.075163928,0.090405806,0.098095732,0.11321487,0.132749352,0.102838799,0.065290693,0.039924764,0.162507003,0.039203455,0.057869232,0.059971165,0.096427189,0.071330478,0.107691977,0.139337211,0.081103291,0.064981586,0.092558816,0.189525599,0.019117221,0.01646281,0.021043747,0.048557178,0.020148991,0.088428473,0.120614333,0.113399708,0.341610821,0.073625315,0.136991401,0.00741177,0.01503826,0.018320211,0.066990107,0.086075259,0.074498427,0.140836587,0.095751975,0.029704112,0.327186796,0.138186496,0.018757172,0.024354432,0.044612227,0.015906131,0.074542128,0.091489728,0.184334585,0.082317319,0.097541049,0.127723679,0.23842155
A0A075B5P5;A0A1Y7VJN6,0.129506533,0.111634692,0.104573769,0.098322013,0.09345286,0.085926148,0.050539315,0.091076749,0.080066045,0.080380085,0.074521792,0.123768114,0.101979541,0.132049798,0.084082579,0.090461898,0.082114504,0.081126686,0.079283482,0.075624337,0.072217984,0.077291077,0.116233448,0.109221808,0.10795258,0.094894848,0.094908695,0.091857882,0.080884587,0.084161229,0.072220855,0.077278442,0.070385625,0.051976683,0.07028842,0.09935556,0.083133142,0.114505206,0.095384574,0.077504842,0.120636349,0.116896303,0.085077808,0.085241112,0.069911776,0.044505269,0.085248977,0.091190613,0.111080399,0.085386388,0.097370829,0.098378301,0.098584187,0.12792522,0.09041804,0.098056256,0.086660016,0.107327398,0.121795899,0.091017863,0.099736055,0.086133731,0.104415119,0.074322,0.067487693,0.06304797
A0A075B5R5,0.086943816,0.068451669,0.332349949,0.082031829,0.076989895,0.039609122,0.040466008,0.089094347,0.087954604,0.082435144,0.013673616,0.130086905,0.162272763,0.12732242,0.067974091,0.060452415,0.069592981,0.058151465,0.067746447,0.146326769,0.093125349,0.016948394,0.112799392,0.09911246,0.095985624,0.101390374,0.083028601,0.089293097,0.062274735,0.122990268,0.147160266,0.068478951,0.017486232,0.106805941,0.035881215,0.167251173,0.100313099,0.033024476,0.048410496,0.025464134,0.111865739,0.056422666,0.301955395,0.012605666,0.062557628,0.046791942,0.099301363,0.056117529,0.064460953,0.069075682,0.022584302,0.134549242,0.013833185,0.42177218,0.008955993,0.211947113,0.083781875,0.142098469,0.050266443,0.112228956,0.092398632,0.038883589,0.124219055,0.022892098,0.100313594,0.020970175
A0A075B5S2,0.091335897,0.093948569,0.133011807,0.138694621,0.093420134,0.081249302,0.092065838,0.074871363,0.036355958,0.115222947,0.049823565,0.109024238,0.070299327,0.084977759,0.05894312,0.087268275,0.114116914,0.053988872,0.098313155,0.157973989,0.116744571,0.048349779,0.132776334,0.116815512,0.096847828,0.082804751,0.05733194,0.077394619,0.043301352,0.109548601,0.152397729,0.084106149,0.046675184,0.048729185,0.228917275,0.095208664,0.058542337,0.140792584,0.091067647,0.049303723,0.120376836,0.07807348,0.043443738,0.045544531,0.061602627,0.075857917,0.243788829,0.091738738,0.038400238,0.099182733,0.043817298,0.083815358,0.118704922,0.11603445,0.027056891,0.077066161,0.142133947,0.104322401,0.119482993,0.10703583,0.125173823,0.020518241,0.153470018,0.093011322,0.031510814,0.02627445
A0A075B5T2,0.055750393,0.038514438,0.056016321,0.05887951,0.077294852,0.113829354,0.095404812,0.121206749,0.116002669,0.150417966,0.116682934,0.063175249,0.042741663,0.067934091,0.08221312,0.082983013,0.079343887,0.104703306,0.116396283,0.094191505,0.15673357,0.109584311,0.033114413,0.052029894,0.072674662,0.064649786,0.098657925,0.081343323,0.104878597,0.118429522,0.11116185,0.157319263,0.105740765,0.037018836,0.07123484,0.022527759,0.030521076,0.053170846,0.111465437,0.122651222,0.041025554,0.098779418,0.336708608,0.074896404,0.014552276,0.016872934,0.029312152,0.097661417,0.029189536,0.067802839,0.141085888,0.103185833,0.134422254,0.232765675,0.133149196,0.056484897,0.014440351,0.017511446,0.080258017,0.042942672,0.057016925,0.082960883,0.115559052,0.177518975,0.267525174,0.087781608
